feature,importance
GYRO_MAG_std,0.09
ACC_0_mean,0.08999999999999997
GYRO_1_std,0.08
GYRO_2_range,0.07
GYRO_2_rms,0.06939715788978029
GYRO_1_rms,0.06000000000000001
GYRO_0_minimum,0.059529441715562396
GYRO_MAG_rms,0.05008403742043627
GYRO_MAG_maximum,0.039999999999999994
ACC_0_rms,0.039969337775796074
GYRO_0_mean,0.03994662480376766
GYRO_MAG_range,0.03964372275490484
GYRO_1_minimum,0.030004360012926265
GYRO_MAG_mean,0.03
GYRO_1_range,0.029999999999999992
GYRO_0_std,0.029944159133602676
GYRO_0_rms,0.029699107241265295
mean_negative_prominence,0.020000000000000007
GYRO_2_std,0.02
GYRO_2_minimum,0.01994652406417111
ACC_0_minimum,0.019216035015805755
ACC_2_mean,0.010002098280768035
ACC_MAG_mean,0.01
GYRO_1_maximum,0.01
ACC_0_range,0.01
ACC_1_std,0.0008398058505915743
ACC_2_rms,0.000614126267435637
ACC_2_minimum,0.0006028421102196993
GYRO_MAG_minimum,0.000294117647058821
ACC_1_minimum,8.632957024951856e-05
GYRO_2_mean,8.365277343494842e-05
ACC_1_maximum,5.347593582889094e-05
ACC_1_range,4.3043736394221664e-05
GYRO_0_maximum,1.2696478904104942e-17
periodicity_strength,8.106260760682206e-18
ACC_MAG_rms,7.577272143066691e-18
negative_trough_count,7.459310946700267e-18
ACC_2_maximum,6.891353038346473e-18
positive_peak_count,6.2912638062092155e-18
GYRO_0_range,6.200105788255929e-18
ACC_1_rms,4.0047330531121705e-18
ACC_MAG_minimum,3.154527920930132e-18
GYRO_1_mean,3.154527920930132e-18
ACC_2_std,2.8727020762175916e-18
mean_positive_prominence,2.7582103268031238e-18
dominant_frequency,0.0
ACC_MAG_range,0.0
ACC_0_std,0.0
ACC_0_maximum,0.0
ACC_2_range,0.0
ACC_MAG_std,0.0
ACC_MAG_maximum,0.0
ACC_1_mean,0.0
GYRO_2_maximum,0.0
